OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
61450,48,001,951100,1400000US48001951100,48001951100,9511,Anderson,TX,Texas,"Census Tract 9511, Anderson County, Texas","4,438.00",577.00,"1,185.00",1.22,0.48,0.62,0.22,0.33,0.44,0.09,0.59,1.44,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.15,0.96,2.11,0.88,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.29,3.84,0.07,0.44,0.44,0.44,0.43,0.48,0.02,0.52,0.13,0.85,0.77,3.19,0.43,0.85,0.48,0.59,0.60,2.53,0.88,0.98,0.00,0.98,0.65,7.14,0.55,1.00,0.00,1.00,0.00,1.00,3.00,0.60,0.33,8.80,0.14,33.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.63,3.50,0.00,0.00,0.00,18.05,24.40,26.34,9.40,0.80,12.10,15.86,15.30,25.70,22.80,21.80,13.70,2.20,40.90,0.00,38.10,9.40,8.00,13.60,12.70,0.81,0.40,0.80,0.71,0.46,"167,954.10","782,747,049.45"
61451,48,003,950100,1400000US48003950100,48003950100,9501,Andrews,TX,Texas,"Census Tract 9501, Andrews County, Texas","2,305.00",233.00,"2,732.00",0.77,0.22,0.77,0.33,0.00,0.09,0.01,0.31,0.41,0.05,0.00,0.32,0.91,0.65,0.00,0.00,1.88,0.85,0.86,0.11,0.90,1.87,0.73,0.00,0.20,0.86,1.06,0.51,0.00,0.00,0.00,5.21,0.30,0.68,0.68,0.68,0.40,0.77,0.51,0.28,0.12,0.90,0.08,3.05,0.40,0.21,0.95,0.08,0.85,2.08,0.57,0.87,0.00,0.87,0.53,6.69,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.68,0.05,26.80,0.00,0.86,0.25,0.73,0.00,0.00,0.06,18.73,4.50,0.00,2.71,0.58,0.00,50.00,25.29,18.20,4.90,7.20,15.45,17.80,4.60,10.50,32.20,6.20,8.40,16.90,0.00,32.00,9.10,6.70,13.60,11.60,0.51,0.31,0.49,0.61,0.46,"246,909.23","2,624,593,376.38"
61452,48,003,950200,1400000US48003950200,48003950200,9502,Andrews,TX,Texas,"Census Tract 9502, Andrews County, Texas","7,465.00",582.00,"6,633.00",0.70,0.19,0.70,0.28,0.00,0.09,0.14,0.31,0.54,0.07,0.00,0.73,0.00,0.00,0.00,0.00,0.73,0.37,0.49,0.63,0.49,1.62,0.55,0.00,0.65,0.96,1.61,0.90,0.00,0.00,0.00,4.50,0.16,0.74,0.74,0.74,0.30,0.88,0.20,0.33,0.09,0.74,0.36,2.89,0.36,0.25,0.80,0.32,0.86,2.22,0.69,0.53,0.70,1.23,0.75,7.08,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.71,0.17,26.81,0.00,71.07,0.00,0.00,0.00,0.00,82.40,72.11,9.19,0.00,85.40,42.12,0.00,58.00,20.07,25.10,2.70,8.10,14.56,11.60,12.50,11.30,26.80,10.00,9.20,1.00,1.10,33.00,9.00,6.20,14.40,11.60,0.57,0.28,0.39,0.61,0.55,"11,493.94","5,102,642.73"
61453,48,003,950300,1400000US48003950300,48003950300,9503,Andrews,TX,Texas,"Census Tract 9503, Andrews County, Texas","4,889.00",525.00,"4,156.00",1.16,0.44,0.96,0.48,0.00,0.09,0.13,0.32,0.53,0.07,0.00,0.72,0.00,0.00,0.00,0.00,0.72,0.37,0.47,0.54,0.40,1.41,0.35,0.00,0.71,0.97,1.68,0.91,0.00,0.00,0.00,4.34,0.14,0.83,0.83,0.83,0.63,0.96,0.62,0.50,0.19,0.99,0.40,4.28,0.67,0.10,1.00,0.40,0.91,2.41,0.81,0.95,0.45,1.40,0.82,8.92,0.82,0.00,0.00,0.00,0.00,1.00,1.00,0.20,0.00,6.70,0.16,27.07,0.00,69.37,0.00,0.00,0.00,0.00,88.35,64.40,10.89,0.00,96.10,46.84,0.00,76.00,37.12,36.20,5.80,11.60,17.72,32.40,13.70,7.80,42.00,11.10,13.50,30.00,0.20,32.50,8.90,5.40,15.00,12.70,0.54,0.26,0.24,0.71,0.62,"11,094.65","5,207,491.94"
61454,48,003,950400,1400000US48003950400,48003950400,9504,Andrews,TX,Texas,"Census Tract 9504, Andrews County, Texas","3,377.00",239.00,"1,606.00",0.69,0.18,0.69,0.27,0.00,0.09,0.02,0.29,0.41,0.05,0.00,0.32,0.00,0.68,0.00,0.00,1.00,0.54,0.85,0.25,0.87,1.98,0.80,0.00,0.23,0.85,1.08,0.52,0.00,0.00,0.00,4.47,0.16,0.66,0.66,0.66,0.36,0.93,0.21,0.07,0.16,0.93,0.73,3.40,0.48,0.18,0.78,0.36,0.67,2.00,0.49,1.00,0.00,1.00,0.67,7.06,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,0.07,26.38,0.00,0.69,0.00,2.19,0.00,0.00,0.27,38.80,4.83,0.00,6.78,0.32,0.00,47.10,22.98,30.40,2.80,3.10,17.01,20.70,24.20,10.00,26.50,10.50,3.10,55.60,0.00,32.00,8.80,5.70,13.80,11.30,0.51,0.23,0.29,0.57,0.48,"162,311.47","1,253,583,347.31"
61455,48,005,000101,1400000US48005000101,48005000101,1.01,Angelina,TX,Texas,"Census Tract 1.01, Angelina County, Texas","6,346.00",500.00,"3,263.00",1.41,0.58,1.01,0.52,0.00,0.48,0.14,0.74,1.36,0.28,0.00,0.00,0.00,0.67,0.00,0.00,0.67,0.34,0.78,0.31,0.95,2.04,0.84,0.29,0.37,0.00,0.66,0.25,0.31,0.31,0.31,5.03,0.26,0.34,0.34,0.34,0.66,0.77,0.39,0.14,0.12,0.74,0.74,3.57,0.52,0.42,0.75,0.88,0.60,2.65,0.93,0.92,0.93,1.85,0.99,8.41,0.75,1.00,0.00,0.00,1.00,0.00,2.00,0.40,0.00,8.99,0.17,36.76,0.00,0.00,0.00,1.47,0.00,0.00,7.31,44.24,3.67,3.00,26.53,0.00,20.90,17.50,38.82,18.20,4.00,4.80,15.53,11.80,24.40,14.40,25.80,20.00,2.20,24.40,6.70,36.60,9.70,6.70,16.20,12.20,0.75,0.49,0.49,0.67,0.73,"92,902.14","255,969,674.78"
61456,48,005,000102,1400000US48005000102,48005000102,1.02,Angelina,TX,Texas,"Census Tract 1.02, Angelina County, Texas","4,761.00",392.00,"3,757.00",0.34,0.05,0.34,0.07,0.00,0.48,0.11,0.73,1.32,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.18,0.97,1.81,0.70,0.42,0.00,0.00,0.42,0.13,0.46,0.46,0.46,4.01,0.09,0.28,0.28,0.28,0.48,0.29,0.16,0.09,0.11,0.53,0.32,1.98,0.19,0.26,0.94,0.40,0.49,2.09,0.58,0.87,0.00,0.87,0.53,5.22,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.98,0.15,36.57,0.00,0.00,0.00,0.00,0.00,0.00,29.96,29.65,3.25,20.74,0.00,0.00,41.87,14.10,29.11,5.90,2.40,3.60,15.31,7.50,11.40,11.50,31.50,11.10,1.30,17.00,0.00,32.00,9.00,6.20,14.30,9.50,0.51,0.28,0.39,0.34,0.54,"82,571.77","158,808,330.15"
61457,48,005,000200,1400000US48005000200,48005000200,2,Angelina,TX,Texas,"Census Tract 2, Angelina County, Texas","6,677.00",805.00,"2,594.00",2.10,0.85,1.50,0.84,0.00,0.49,0.21,0.80,1.50,0.34,0.00,0.43,0.91,0.74,0.00,0.00,2.08,0.87,0.76,0.31,0.93,1.99,0.81,0.48,0.32,0.00,0.80,0.40,0.36,0.36,0.36,6.73,0.65,0.56,0.56,0.56,0.73,0.83,0.81,0.40,0.30,0.96,0.51,4.53,0.72,0.41,0.73,0.81,0.77,2.72,0.94,0.95,0.38,1.34,0.79,9.15,0.85,1.00,0.00,0.00,1.00,1.00,3.00,0.60,0.00,9.04,0.21,38.38,0.00,6.29,0.31,5.92,0.00,0.00,9.38,44.42,4.11,31.68,18.85,0.00,27.44,35.20,43.04,21.10,8.30,9.50,20.80,24.50,16.70,14.20,25.50,17.70,5.30,30.50,0.10,37.20,10.30,6.60,17.70,14.20,0.77,0.65,0.47,0.82,0.84,"94,628.99","130,032,548.44"
61458,48,005,000301,1400000US48005000301,48005000301,3.01,Angelina,TX,Texas,"Census Tract 3.01, Angelina County, Texas","5,288.00",581.00,"2,879.00",1.64,0.68,1.24,0.69,0.00,0.50,0.23,0.76,1.48,0.33,0.00,0.52,0.00,0.80,0.00,0.00,1.33,0.62,0.76,0.30,0.80,1.86,0.73,0.55,0.52,0.00,1.07,0.52,0.59,0.59,0.59,6.32,0.55,0.54,0.54,0.54,0.49,0.60,0.55,0.45,0.12,0.89,0.32,3.42,0.48,0.51,0.72,0.85,0.42,2.50,0.86,0.98,0.51,1.49,0.87,7.95,0.68,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,9.06,0.22,37.28,0.00,18.26,0.00,15.50,0.00,0.00,9.53,43.44,5.61,47.03,55.18,0.00,62.07,33.40,29.57,12.10,5.20,10.60,15.71,17.60,11.40,15.80,25.40,18.80,0.90,40.20,0.30,36.80,9.60,7.30,15.10,12.50,0.76,0.46,0.64,0.69,0.63,"41,408.63","36,842,546.33"
61459,48,005,000302,1400000US48005000302,48005000302,3.02,Angelina,TX,Texas,"Census Tract 3.02, Angelina County, Texas","5,218.00",419.00,"4,380.00",2.07,0.84,1.47,0.83,0.00,0.48,0.14,0.74,1.37,0.28,0.00,0.31,0.00,0.78,0.00,0.00,1.09,0.56,0.84,0.11,0.91,1.86,0.73,0.59,0.33,0.91,1.83,0.93,0.68,0.68,0.68,6.83,0.67,0.54,0.54,0.54,0.73,0.62,0.49,0.74,0.58,0.93,0.30,4.40,0.69,0.64,0.80,0.78,0.70,2.92,0.98,0.97,0.00,0.97,0.63,8.83,0.81,1.00,0.00,0.00,1.00,1.00,3.00,0.60,0.00,9.01,0.17,36.82,0.00,0.56,0.00,11.19,0.00,0.00,0.64,19.74,4.42,55.97,21.24,6.48,78.50,33.60,43.35,12.80,4.70,19.00,28.69,20.40,11.10,18.00,27.00,17.10,3.50,34.60,0.00,35.40,9.60,6.50,15.90,12.40,0.70,0.46,0.45,0.69,0.71,"57,074.67","58,500,356.51"
61460,48,005,000400,1400000US48005000400,48005000400,4,Angelina,TX,Texas,"Census Tract 4, Angelina County, Texas","4,938.00",567.00,"10,553.00",2.41,0.93,1.61,0.89,0.00,0.49,0.41,0.78,1.69,0.42,0.00,0.82,0.00,0.90,0.00,0.00,1.72,0.77,0.50,0.41,0.54,1.44,0.39,0.74,0.61,0.00,1.35,0.65,0.66,0.66,0.66,6.86,0.67,0.69,0.69,0.69,0.75,0.89,0.56,0.77,0.68,0.91,0.30,4.85,0.78,0.67,0.59,0.89,0.58,2.73,0.95,0.73,0.94,1.67,0.95,9.94,0.94,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.00,9.05,0.34,38.02,0.00,95.69,0.00,50.87,0.00,0.00,81.44,53.68,8.63,93.88,75.73,0.00,74.82,51.30,44.58,25.40,5.30,20.00,32.52,18.90,10.90,18.50,23.30,20.30,2.00,6.30,8.40,41.10,10.50,6.90,17.20,15.70,0.88,0.70,0.54,0.89,0.81,"18,564.17","12,690,431.97"
61461,48,005,000500,1400000US48005000500,48005000500,5,Angelina,TX,Texas,"Census Tract 5, Angelina County, Texas","3,973.00",441.00,"4,597.00",2.47,0.95,1.67,0.91,0.00,0.49,0.49,0.82,1.80,0.47,0.00,0.78,0.00,0.90,0.00,0.00,1.68,0.75,0.52,0.47,0.72,1.71,0.62,0.72,0.63,0.00,1.35,0.65,0.31,0.31,0.31,6.85,0.67,0.88,0.88,0.88,0.94,0.91,0.95,0.82,0.79,0.95,0.78,6.13,0.97,0.42,0.70,0.97,0.78,2.87,0.97,0.73,0.55,1.28,0.77,11.17,1.00,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.00,9.05,0.39,39.10,0.00,86.16,0.00,49.13,0.00,0.00,75.37,58.83,6.50,90.92,80.40,0.00,21.15,85.70,64.25,27.20,14.30,22.70,37.88,22.30,26.00,14.40,25.00,24.90,5.50,6.50,0.40,48.70,12.40,6.40,18.90,22.20,0.98,0.93,0.43,0.99,0.90,"21,675.58","15,297,367.53"
61462,48,005,000600,1400000US48005000600,48005000600,6,Angelina,TX,Texas,"Census Tract 6, Angelina County, Texas","6,674.00",637.00,"5,938.00",2.42,0.94,1.62,0.89,0.00,0.49,0.49,0.85,1.82,0.48,0.00,0.74,0.00,0.89,0.00,0.00,1.63,0.73,0.56,0.59,0.59,1.74,0.64,0.67,0.66,0.00,1.33,0.64,0.34,0.34,0.34,6.85,0.67,0.86,0.86,0.86,0.89,0.88,0.34,0.53,0.79,0.99,0.47,4.90,0.79,0.30,0.92,0.47,0.85,2.54,0.88,0.83,0.92,1.75,0.97,10.05,0.95,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.00,9.04,0.39,40.05,0.00,72.90,0.00,47.03,0.00,0.00,60.91,68.73,8.00,77.25,86.47,0.00,24.32,80.70,57.73,24.80,3.70,12.50,37.85,33.40,15.60,12.30,30.80,12.00,8.50,12.90,6.20,40.30,10.60,5.50,18.20,16.40,0.87,0.72,0.26,0.91,0.87,"23,503.53","15,319,372.29"
